iter	Logloss
0	0.6825971345
1	0.6716565342
2	0.6586434678
3	0.6472223903
4	0.6373525601
5	0.6267971834
6	0.6150533536
7	0.6054172952
8	0.594161102
9	0.5836302045
10	0.5735775274
11	0.5653198181
12	0.5571812207
13	0.5479312267
14	0.538069134
15	0.5288250558
16	0.5196179367
17	0.5104769679
18	0.5014336445
19	0.495206744
20	0.4871374793
21	0.4799762854
22	0.4724832131
23	0.4642209141
24	0.4564767281
25	0.4500964228
26	0.4444353294
27	0.43671335
28	0.4304618103
29	0.4234502238
30	0.4175161213
31	0.4118612493
32	0.4062437692
33	0.4001329947
34	0.3938954085
35	0.3879955816
36	0.3819291307
37	0.3758794067
38	0.3705595034
39	0.3642232081
40	0.3586046802
41	0.3546454802
42	0.3502346539
43	0.3452351077
44	0.3406636903
45	0.3353975021
46	0.330906888
47	0.3270639097
48	0.3229110525
49	0.3189937411
50	0.3155590454
51	0.3116072872
52	0.3069980983
53	0.3031257829
54	0.2990550654
55	0.2946412047
56	0.290640492
57	0.2867653609
58	0.2829037454
59	0.2791674382
60	0.2760530714
61	0.2732279606
62	0.2696389007
63	0.2668536456
64	0.2638602309
65	0.2610184604
66	0.2580329692
67	0.2551165998
68	0.251659692
69	0.2485584532
70	0.2453179145
71	0.242732515
72	0.2403369883
73	0.2377223027
74	0.2350364608
75	0.2323848525
76	0.2298494937
77	0.2277156654
78	0.224682269
79	0.2223392477
80	0.2199375787
81	0.2176713716
82	0.2152536537
83	0.2131397705
84	0.2110501558
85	0.2092777983
86	0.2071367406
87	0.2053890998
88	0.2035093679
89	0.2016969176
90	0.1994315611
91	0.1977679845
92	0.1961454098
93	0.1939386404
94	0.1922948371
95	0.1902073925
96	0.1887148204
97	0.1869263702
98	0.1852894307
99	0.1833683349
100	0.1820512838
101	0.1803568721
102	0.1785226755
103	0.1770053913
104	0.1752555092
105	0.1735118535
106	0.1716901184
107	0.1697201783
108	0.168236258
109	0.1667048793
110	0.1654222808
111	0.1640390522
112	0.1621200235
113	0.1605859866
114	0.1593983396
115	0.1579929743
116	0.1565349717
117	0.1553123088
